epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.388,1.17705,2.73506,1.70171,1.46226,0.75909,0.12081,0.22496,0.13644,0.74955,0.11021,0.18637,0.09741,1.75968,4.4438,3.07444,1.81211,0.000110851,0.000110851,0.000110851
2,564.095,1.21859,2.76978,1.5282,1.48612,0.74613,0.13126,0.21515,0.1357,0.73249,0.12138,0.18846,0.10006,1.68695,3.84618,2.76967,1.76722,0.000218191,0.000218191,0.000218191
3,830.706,1.26395,2.86531,1.63763,1.53112,0.57773,0.18788,0.23617,0.13639,0.58671,0.16229,0.20959,0.09988,1.71014,3.93237,2.83839,1.82477,0.000321867,0.000321867,0.000321867
4,1097.15,1.20419,2.74156,1.51267,1.48674,0.61176,0.28419,0.34188,0.22534,0.58071,0.26928,0.31345,0.16606,1.56417,3.56369,2.58432,1.69106,0.000316517,0.000316517,0.000316517
5,1364.01,1.09889,2.48353,1.28775,1.40286,0.67135,0.36613,0.4491,0.29785,0.66374,0.35229,0.42325,0.24228,1.40548,3.19661,1.97938,1.55248,0.000311022,0.000311022,0.000311022
6,1630.79,1.01454,2.27835,1.09126,1.33137,0.67804,0.4601,0.53063,0.37028,0.65932,0.44508,0.50597,0.28149,1.236,2.8473,1.5379,1.38566,0.000305527,0.000305527,0.000305527
7,1897.7,0.93274,2.08905,0.93991,1.26816,0.69976,0.5154,0.58901,0.42501,0.69291,0.49312,0.55974,0.34314,1.19708,2.80947,1.51458,1.37861,0.000300033,0.000300033,0.000300033
8,2164.46,0.87571,1.94664,0.83828,1.22309,0.70901,0.5438,0.61644,0.46137,0.69539,0.5274,0.594,0.38193,1.05707,2.4776,1.14885,1.24168,0.000294539,0.000294539,0.000294539
9,2431.35,0.82749,1.81287,0.74968,1.18435,0.80257,0.60894,0.6932,0.52998,0.79588,0.60112,0.67868,0.45773,0.99375,2.27149,1.00958,1.19165,0.000289044,0.000289044,0.000289044
10,2697.89,0.79571,1.71684,0.69083,1.15962,0.86407,0.63816,0.73129,0.56449,0.86068,0.62642,0.70638,0.48092,0.90759,2.13913,0.89882,1.11023,0.00028355,0.00028355,0.00028355
11,2964.38,0.76158,1.62575,0.63212,1.13554,0.88975,0.63594,0.73646,0.57599,0.88174,0.62709,0.71794,0.49079,0.89038,2.0675,0.81844,1.10981,0.000278055,0.000278055,0.000278055
12,3232.5,0.72697,1.55922,0.58889,1.11163,0.88176,0.70175,0.78496,0.63181,0.87283,0.68598,0.76786,0.54934,0.82027,1.90936,0.70098,1.04079,0.000272561,0.000272561,0.000272561
13,3499.38,0.70055,1.47484,0.55494,1.0887,0.89223,0.70192,0.79361,0.63968,0.88532,0.6995,0.78277,0.55496,0.79497,1.88521,0.65711,1.03497,0.000267066,0.000267066,0.000267066
14,3767.56,0.68429,1.43987,0.52823,1.07678,0.91451,0.7181,0.80845,0.66441,0.90643,0.71037,0.79408,0.59018,0.75989,1.75493,0.62128,1.01069,0.000261572,0.000261572,0.000261572
15,4034.08,0.66774,1.39104,0.51127,1.06586,0.88949,0.75211,0.82115,0.67223,0.89539,0.7379,0.81323,0.59419,0.74296,1.68194,0.57872,1.00438,0.000256077,0.000256077,0.000256077
16,4302.04,0.66126,1.37232,0.49961,1.06258,0.91552,0.73954,0.82174,0.67868,0.91046,0.73578,0.81059,0.59536,0.72473,1.65586,0.56299,0.98372,0.000250583,0.000250583,0.000250583
17,4568.95,0.63872,1.31264,0.47561,1.04933,0.92301,0.75772,0.83245,0.68678,0.91726,0.75008,0.8179,0.61702,0.69161,1.5545,0.51631,0.96013,0.000245088,0.000245088,0.000245088
18,4836.79,0.63543,1.28842,0.46644,1.04422,0.91917,0.76085,0.84259,0.70205,0.92034,0.75451,0.83074,0.6323,0.70029,1.53129,0.51388,0.95432,0.000239594,0.000239594,0.000239594
19,5103.09,0.62076,1.2474,0.45684,1.03429,0.91695,0.76862,0.85421,0.71035,0.90513,0.76366,0.83717,0.64022,0.66294,1.46257,0.48374,0.93494,0.000234099,0.000234099,0.000234099
20,5369.43,0.60296,1.21273,0.4347,1.02215,0.95857,0.7708,0.85395,0.72384,0.95172,0.76241,0.84157,0.65109,0.63233,1.40526,0.4421,0.92009,0.000228605,0.000228605,0.000228605
21,5635.94,0.5989,1.19539,0.42984,1.02063,0.93967,0.78648,0.85897,0.7253,0.94271,0.77963,0.85697,0.6622,0.65257,1.38268,0.45593,0.93182,0.00022311,0.00022311,0.00022311
22,5902.41,0.59299,1.17938,0.42498,1.01738,0.94591,0.78517,0.86214,0.72738,0.94653,0.776,0.85466,0.65288,0.64924,1.39266,0.44969,0.9192,0.000217616,0.000217616,0.000217616
23,6168.94,0.58371,1.15893,0.4147,1.00914,0.93059,0.80209,0.87132,0.73996,0.9238,0.79785,0.85934,0.66836,0.61234,1.32108,0.42392,0.90902,0.000212121,0.000212121,0.000212121
24,6435.33,0.57211,1.12773,0.40561,1.00032,0.94395,0.789,0.8726,0.74172,0.94174,0.7814,0.8642,0.6688,0.61112,1.28848,0.41841,0.90055,0.000206627,0.000206627,0.000206627
25,6702.12,0.56781,1.11957,0.39583,0.99961,0.9496,0.80947,0.87575,0.75312,0.96061,0.79636,0.86657,0.68069,0.59391,1.24051,0.39551,0.87747,0.000201132,0.000201132,0.000201132
26,6968.48,0.55775,1.09595,0.38694,0.99146,0.96232,0.80081,0.87604,0.74936,0.95828,0.79405,0.86259,0.68199,0.59081,1.23809,0.39372,0.88813,0.000195637,0.000195637,0.000195637
27,7234.93,0.54976,1.08541,0.37996,0.98663,0.95224,0.81522,0.88258,0.76274,0.95274,0.80016,0.87181,0.69124,0.58549,1.2304,0.38808,0.89004,0.000190143,0.000190143,0.000190143
28,7501.71,0.54488,1.06618,0.37548,0.9848,0.96033,0.81346,0.88325,0.76314,0.95596,0.80892,0.87395,0.6974,0.57098,1.18256,0.37125,0.88388,0.000184649,0.000184649,0.000184649
29,7769.06,0.53895,1.04677,0.37076,0.98352,0.9531,0.82202,0.88794,0.77015,0.95339,0.81042,0.87635,0.69514,0.56386,1.17464,0.36579,0.88373,0.000179154,0.000179154,0.000179154
30,8035.51,0.53033,1.02512,0.36295,0.9758,0.9598,0.82116,0.89101,0.77017,0.9537,0.81284,0.88329,0.7044,0.55353,1.15324,0.35798,0.8685,0.00017366,0.00017366,0.00017366
31,8302.2,0.52378,1.0124,0.35863,0.97223,0.94831,0.82985,0.89303,0.77406,0.94812,0.81959,0.8849,0.70657,0.55006,1.13117,0.35222,0.87018,0.000168165,0.000168165,0.000168165
32,8568.91,0.52007,1.00183,0.35452,0.96824,0.95982,0.83297,0.89345,0.77453,0.95788,0.82581,0.88453,0.70804,0.5447,1.11727,0.3481,0.86439,0.00016267,0.00016267,0.00016267
33,8835.3,0.51385,0.99341,0.35092,0.96726,0.95469,0.82565,0.8921,0.77834,0.95078,0.81593,0.88325,0.70857,0.53917,1.11109,0.34472,0.86273,0.000157176,0.000157176,0.000157176
34,9101.94,0.50783,0.97615,0.34367,0.96463,0.95121,0.83663,0.89671,0.78231,0.95242,0.82543,0.88748,0.71707,0.53056,1.09037,0.33697,0.8555,0.000151682,0.000151682,0.000151682
35,9368.89,0.49824,0.9582,0.33607,0.95465,0.95489,0.83663,0.89814,0.78376,0.96266,0.8246,0.88989,0.71514,0.52478,1.0823,0.33174,0.84516,0.000146187,0.000146187,0.000146187
36,9634.99,0.49558,0.94924,0.33312,0.95346,0.96523,0.83268,0.89934,0.78773,0.96678,0.8227,0.89094,0.71774,0.51893,1.06403,0.32514,0.84169,0.000140692,0.000140692,0.000140692
37,9902.43,0.48983,0.94261,0.3302,0.95129,0.9582,0.83695,0.90077,0.7898,0.96231,0.82457,0.89219,0.71624,0.51932,1.05084,0.3251,0.8453,0.000135198,0.000135198,0.000135198
38,10169,0.48359,0.92371,0.32328,0.94947,0.95605,0.83959,0.90253,0.79122,0.96971,0.81741,0.89079,0.71817,0.50937,1.0374,0.324,0.84816,0.000129703,0.000129703,0.000129703
39,10435.4,0.48022,0.91826,0.31961,0.9468,0.95669,0.8468,0.90295,0.79171,0.96099,0.83003,0.89351,0.71787,0.50965,1.03641,0.31683,0.84053,0.000124209,0.000124209,0.000124209
40,10701.7,0.47554,0.90486,0.31457,0.94725,0.96723,0.83899,0.90495,0.7907,0.96261,0.8308,0.89778,0.72166,0.49982,1.01711,0.31175,0.8424,0.000118714,0.000118714,0.000118714
41,10968.5,0.46879,0.891,0.31181,0.94254,0.96485,0.84724,0.90606,0.79745,0.95745,0.83865,0.89834,0.72788,0.49441,0.99773,0.30567,0.83853,0.00011322,0.00011322,0.00011322
