epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,27264.5,0.36279,0.40252,0.28646,0.88318,0.69042,0.57292,0.62444,0.53893,0.65456,0.54094,0.58478,0.43225,0.41277,1.21735,0.58738,0.81268,0.005215,0.005215,0.005215
31,28167.4,0.35981,0.39827,0.28262,0.88167,0.68922,0.57406,0.62407,0.53886,0.65454,0.53943,0.58415,0.43244,0.41261,1.21999,0.58899,0.81226,0.00505,0.00505,0.00505
32,29069.8,0.3561,0.39484,0.27969,0.88111,0.68891,0.57676,0.62253,0.53805,0.63436,0.55061,0.58337,0.43215,0.41213,1.22308,0.58951,0.81216,0.004885,0.004885,0.004885
33,29971.6,0.35369,0.39129,0.27783,0.88002,0.68618,0.57362,0.62257,0.53818,0.64518,0.54427,0.58404,0.43225,0.41131,1.22431,0.59023,0.81183,0.00472,0.00472,0.00472
34,30874.8,0.35056,0.3867,0.27464,0.88022,0.69002,0.57436,0.62253,0.53857,0.64161,0.5483,0.58492,0.43257,inf,1.22752,0.5901,0.81174,0.004555,0.004555,0.004555
35,31777.2,0.34887,0.38288,0.27279,0.87944,0.68783,0.57513,0.62378,0.53935,0.6426,0.54792,0.5854,0.43313,inf,1.22825,0.5903,0.81156,0.00439,0.00439,0.00439
36,32679.1,0.34568,0.37904,0.27049,0.87774,0.68975,0.57368,0.62489,0.54078,0.64101,0.54925,0.58623,0.43471,inf,1.22882,0.59032,0.81124,0.004225,0.004225,0.004225
37,33583.3,0.34206,0.3774,0.26737,0.87757,0.68571,0.5781,0.62545,0.54132,0.66595,0.53794,0.5878,0.43508,inf,1.23006,0.58996,0.81104,0.00406,0.00406,0.00406
38,34485.3,0.34019,0.37052,0.26728,0.87677,0.68322,0.57785,0.62534,0.54121,0.63122,0.55672,0.58765,0.43485,0.40869,1.23216,0.59003,0.81141,0.003895,0.003895,0.003895
39,35388.6,0.33663,0.36657,0.26254,0.87397,0.68421,0.57808,0.62483,0.54072,0.63509,0.55657,0.58803,0.43467,0.40862,1.23317,0.59033,0.81155,0.00373,0.00373,0.00373
40,36289.8,0.33545,0.36598,0.26119,0.87542,0.68795,0.57813,0.6256,0.54135,0.63868,0.55718,0.58857,0.43602,0.40778,1.23313,0.58952,0.81127,0.003565,0.003565,0.003565
41,37190.8,0.33171,0.3589,0.25787,0.87368,0.68335,0.58127,0.62621,0.54152,0.69787,0.54804,0.58879,0.43617,0.40682,1.23303,0.58805,0.81096,0.0034,0.0034,0.0034
42,38091.8,0.32912,0.35678,0.25594,0.8714,0.6747,0.58653,0.62722,0.54223,0.63391,0.55911,0.58968,0.4369,0.40642,1.23042,0.58743,0.81041,0.003235,0.003235,0.003235
43,38992.3,0.3269,0.35342,0.25383,0.87182,0.67297,0.58845,0.62658,0.54241,0.68207,0.55685,0.58974,0.43641,0.40604,1.23035,0.58765,0.81048,0.00307,0.00307,0.00307
44,39891.5,0.32462,0.35185,0.25169,0.87046,0.67477,0.58618,0.62631,0.54248,0.67482,0.56295,0.58947,0.43646,0.40546,1.22985,0.58689,0.81002,0.002905,0.002905,0.002905
45,40791.3,0.322,0.34419,0.24812,0.86981,0.72732,0.58331,0.62714,0.54295,0.68375,0.55853,0.58962,0.4367,0.40495,1.23061,0.58657,0.8098,0.00274,0.00274,0.00274
46,41694,0.32023,0.3423,0.24599,0.86894,0.73261,0.57993,0.62683,0.5435,0.68748,0.55487,0.59008,0.4372,0.4045,1.23201,0.58647,0.8094,0.002575,0.002575,0.002575
47,42594.3,0.31729,0.33679,0.24446,0.86798,0.73233,0.58021,0.62608,0.54305,0.68701,0.55602,0.58893,0.43707,0.40384,1.23299,0.58602,0.80921,0.00241,0.00241,0.00241
48,43494.6,0.31441,0.33545,0.24115,0.86771,0.7393,0.57425,0.62546,0.54247,0.68771,0.5547,0.58872,0.43726,0.40354,1.23393,0.58602,0.80928,0.002245,0.002245,0.002245
49,44394.7,0.31213,0.33174,0.23865,0.8663,0.741,0.5736,0.62496,0.54249,0.6886,0.55361,0.58838,0.4372,0.40287,1.23456,0.58589,0.80882,0.00208,0.00208,0.00208
50,45295.4,0.3083,0.32753,0.23586,0.8656,0.74048,0.57245,0.62438,0.54191,0.68931,0.55189,0.58735,0.43721,0.4022,1.23495,0.5859,0.80868,0.001915,0.001915,0.001915
51,46183.2,0.2382,0.28889,0.19179,0.82345,0.74189,0.56921,0.62401,0.541,0.70189,0.54252,0.58625,0.43654,0.4016,1.23725,0.58581,0.80881,0.00175,0.00175,0.00175
52,47067.9,0.23369,0.28321,0.18695,0.82217,0.74041,0.56818,0.62325,0.54005,0.70176,0.54157,0.58471,0.43556,0.40152,1.24189,0.5866,0.80897,0.001585,0.001585,0.001585
53,47952.6,0.22951,0.27679,0.18246,0.82101,0.74326,0.56384,0.62268,0.53957,0.7013,0.53825,0.58389,0.43559,0.40112,1.243,0.58641,0.80914,0.00142,0.00142,0.00142
54,48838,0.22598,0.27223,0.17919,0.81992,0.73395,0.56689,0.62165,0.53852,0.69104,0.54249,0.58319,0.43481,0.40117,1.24475,0.58661,0.80976,0.001255,0.001255,0.001255
55,49722.8,0.22166,0.26558,0.17466,0.81898,0.72907,0.57103,0.62108,0.53805,0.68008,0.54855,0.58256,0.4342,0.40125,1.24629,0.58722,0.81045,0.00109,0.00109,0.00109
56,50613.5,0.21795,0.26069,0.17158,0.81867,0.72578,0.57318,0.62032,0.5373,0.67486,0.55182,0.58241,0.43405,0.40082,1.24753,0.58796,0.81076,0.000925,0.000925,0.000925
57,51496.8,0.21452,0.25673,0.16771,0.81696,0.7235,0.5718,0.61951,0.53666,0.67495,0.54974,0.58181,0.43346,0.40076,1.25036,0.58844,0.81101,0.00076,0.00076,0.00076
58,52381.2,0.21055,0.25292,0.16484,0.81585,0.71843,0.57541,0.61852,0.53598,0.67252,0.54631,0.58154,0.43357,0.40052,1.25123,0.58897,0.81089,0.000595,0.000595,0.000595
59,53264.6,0.20719,0.24738,0.16142,0.81466,0.72051,0.56907,0.61768,0.53515,0.68485,0.5384,0.58101,0.43294,0.40034,1.25273,0.58972,0.81083,0.00043,0.00043,0.00043
60,54148.8,0.20406,0.24537,0.1587,0.8151,0.73878,0.55748,0.61741,0.53403,0.68679,0.53691,0.58021,0.43212,0.40032,1.25508,0.5904,0.81122,0.000265,0.000265,0.000265
