epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6979.17,1.15622,2.74252,1.34441,1.46629,0.53962,0.38943,0.39985,0.26167,0.57818,0.37464,0.39149,0.21804,1.31446,3.02365,1.58141,1.48784,0.000179154,0.000179154,0.000179154
30,7220.44,1.14252,2.72111,1.32383,1.45379,0.53351,0.37838,0.39145,0.24397,0.58397,0.35526,0.37717,0.20873,1.32464,3.02899,1.58583,1.4969,0.00017366,0.00017366,0.00017366
31,7460.13,1.12787,2.68141,1.2967,1.44297,0.54479,0.39673,0.39743,0.25115,0.5442,0.39815,0.39829,0.21503,1.31613,3.00736,1.5696,1.49882,0.000168165,0.000168165,0.000168165
32,7697.35,1.12575,2.68292,1.27936,1.44015,0.63181,0.37003,0.39621,0.24943,0.63219,0.36976,0.38263,0.21045,1.32869,3.03751,1.58881,1.5124,0.00016267,0.00016267,0.00016267
33,7934.54,1.1131,2.65197,1.24368,1.42944,0.58325,0.38106,0.3828,0.24536,0.60096,0.38202,0.38396,0.20886,1.3263,3.04956,1.56768,1.50769,0.000157176,0.000157176,0.000157176
34,8171.28,1.10094,2.63211,1.2284,1.4207,0.62408,0.37058,0.40298,0.26611,0.6531,0.37092,0.40064,0.22551,1.32998,3.04543,1.56337,1.50791,0.000151682,0.000151682,0.000151682
35,8408.73,1.08702,2.59714,1.19106,1.40721,0.61171,0.37116,0.40631,0.26386,0.61807,0.37267,0.39853,0.21962,1.33587,3.03298,1.55008,1.5131,0.000146187,0.000146187,0.000146187
36,8645.54,1.07394,2.57328,1.16561,1.39727,0.60508,0.3856,0.39413,0.24926,0.59594,0.38117,0.38555,0.21381,1.3361,3.05893,1.54894,1.50596,0.000140692,0.000140692,0.000140692
37,8882.36,1.06366,2.5526,1.15022,1.38655,0.63081,0.38265,0.40156,0.25645,0.62989,0.38018,0.39147,0.221,1.34426,3.05981,1.55655,1.52121,0.000135198,0.000135198,0.000135198
38,9119.62,1.05938,2.5374,1.12666,1.38133,0.60381,0.37379,0.39574,0.25603,0.63385,0.37212,0.40302,0.22029,1.34585,3.06748,1.55189,1.51891,0.000129703,0.000129703,0.000129703
39,9356.61,1.04213,2.50518,1.10195,1.36909,0.62252,0.39414,0.40632,0.26153,0.61315,0.38629,0.39442,0.22348,1.34593,3.07259,1.54403,1.52281,0.000124209,0.000124209,0.000124209
40,9592.91,1.03399,2.49166,1.08892,1.36297,0.55727,0.40867,0.40073,0.25582,0.55361,0.39731,0.38886,0.21864,1.3415,3.0809,1.53568,1.5114,0.000118714,0.000118714,0.000118714
41,9829.5,1.02142,2.4704,1.06092,1.35302,0.60133,0.3849,0.39869,0.25444,0.601,0.37381,0.39018,0.2185,1.35163,3.07455,1.5541,1.5266,0.00011322,0.00011322,0.00011322
42,10066.5,1.00787,2.44321,1.03666,1.34036,0.63379,0.37365,0.4068,0.26032,0.64697,0.37424,0.40177,0.22424,1.34532,3.07863,1.54182,1.51281,0.000107726,0.000107726,0.000107726
43,10303.1,0.99944,2.41457,1.01751,1.33471,0.59291,0.39191,0.41106,0.26349,0.63235,0.37421,0.40073,0.22394,1.34296,3.10125,1.54634,1.52285,0.000102231,0.000102231,0.000102231
44,10539.3,0.98865,2.39981,0.99928,1.32712,0.62669,0.37931,0.4051,0.25978,0.63676,0.37808,0.39969,0.22425,1.3401,3.11328,1.54721,1.51638,9.67365e-05,9.67365e-05,9.67365e-05
45,10776.1,0.97869,2.38492,0.98066,1.31774,0.67791,0.36763,0.4136,0.26541,0.68129,0.36593,0.40234,0.23066,1.35951,3.12794,1.55324,1.53508,9.1242e-05,9.1242e-05,9.1242e-05
46,11013.2,0.96732,2.35206,0.96106,1.31135,0.65779,0.3761,0.40824,0.26262,0.65767,0.36687,0.39525,0.22493,1.35976,3.13398,1.5612,1.55037,8.57475e-05,8.57475e-05,8.57475e-05
47,11249.6,0.95811,2.33624,0.94732,1.30522,0.63729,0.38682,0.42231,0.26848,0.6334,0.38531,0.41129,0.23201,1.36304,3.15582,1.5706,1.55023,8.0253e-05,8.0253e-05,8.0253e-05
48,11487.8,0.9481,2.33024,0.93445,1.29405,0.68601,0.37397,0.40964,0.26294,0.6798,0.37314,0.3977,0.22735,1.36719,3.17262,1.57563,1.54678,7.47585e-05,7.47585e-05,7.47585e-05
49,11725.1,0.94265,2.29149,0.90604,1.28908,0.60934,0.4061,0.41908,0.27282,0.65245,0.38467,0.40819,0.2372,1.36487,3.1824,1.55676,1.55242,6.9264e-05,6.9264e-05,6.9264e-05
50,11962,0.92971,2.28733,0.88884,1.2756,0.64138,0.37545,0.41066,0.26221,0.67105,0.36267,0.3978,0.22104,1.37115,3.19036,1.5845,1.55243,6.37695e-05,6.37695e-05,6.37695e-05
51,12201.4,0.92461,2.2732,0.88148,1.27375,0.60856,0.40064,0.4157,0.27021,0.62808,0.38408,0.40731,0.23,1.3656,3.20353,1.58011,1.54784,5.8275e-05,5.8275e-05,5.8275e-05
52,12437.8,0.91659,2.25817,0.86414,1.26554,0.67743,0.37609,0.41189,0.26382,0.66451,0.37853,0.40257,0.22471,1.37965,3.20559,1.59461,1.55885,5.27805e-05,5.27805e-05,5.27805e-05
53,12674,0.90654,2.23736,0.85106,1.25303,0.66961,0.3751,0.41451,0.26828,0.68473,0.371,0.4065,0.2328,1.38008,3.21345,1.5892,1.56466,4.7286e-05,4.7286e-05,4.7286e-05
54,12910.8,0.90143,2.22044,0.83846,1.25799,0.59799,0.39776,0.40969,0.26305,0.60837,0.39195,0.406,0.22463,1.37721,3.21568,1.59162,1.56901,4.17915e-05,4.17915e-05,4.17915e-05
55,13149,0.89397,2.21904,0.8344,1.25178,0.57566,0.41076,0.4087,0.25986,0.66289,0.37769,0.40273,0.22313,1.38368,3.23001,1.60908,1.57623,3.6297e-05,3.6297e-05,3.6297e-05
56,13385.7,0.88172,2.18577,0.81562,1.24339,0.68467,0.36402,0.40973,0.26284,0.67724,0.36465,0.40183,0.22169,1.38831,3.23362,1.61716,1.57742,3.08025e-05,3.08025e-05,3.08025e-05
57,13621.9,0.87308,2.17496,0.80066,1.23596,0.62802,0.38926,0.40622,0.26085,0.64207,0.37533,0.39888,0.22123,1.39417,3.2437,1.62158,1.5798,2.5308e-05,2.5308e-05,2.5308e-05
58,13858.8,0.86853,2.16918,0.79747,1.22965,0.64692,0.3802,0.40524,0.26061,0.63485,0.37671,0.39439,0.22195,1.39489,3.24722,1.63114,1.57957,1.98135e-05,1.98135e-05,1.98135e-05
59,14096.5,0.86401,2.15764,0.78422,1.22411,0.62931,0.3824,0.40104,0.25888,0.62051,0.37921,0.39698,0.22006,1.3995,3.25682,1.63255,1.58607,1.4319e-05,1.4319e-05,1.4319e-05
60,14332.8,0.85608,2.1405,0.77208,1.22036,0.65356,0.37664,0.40051,0.25658,0.64586,0.37711,0.39719,0.21905,1.40198,3.26312,1.63679,1.5891,8.8245e-06,8.8245e-06,8.8245e-06
