epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.001,2.39063,5.06594,4.44411,2.54156,0.30083,0.01587,0.00947,0.00494,0.28905,0.01415,0.00673,0.00291,3.22241,9.05748,5.49988,3.30375,0.000110889,0.000110889,0.000110889
2,580.141,2.16894,4.67241,3.81748,2.32681,0.1933,0.06012,0.03662,0.01725,0.16023,0.03412,0.01882,0.00662,2.25691,4.74253,4.37278,2.4906,0.000218228,0.000218228,0.000218228
3,874.888,2.00393,4.30984,3.39757,2.18817,0.18414,0.08653,0.0536,0.0318,0.15165,0.06834,0.03703,0.01895,2.1317,4.51037,3.92726,2.34218,0.000321904,0.000321904,0.000321904
4,1163.99,1.89085,4.12048,3.15687,2.09265,0.13193,0.08161,0.0597,0.03724,0.1544,0.06872,0.05155,0.0234,2.07944,4.43755,3.90999,2.2626,0.000316517,0.000316517,0.000316517
5,1456.59,1.84321,4.08653,3.07212,2.03669,0.19106,0.09238,0.05927,0.03628,0.15941,0.07477,0.04808,0.02488,2.15429,4.40691,4.043,2.32617,0.000311022,0.000311022,0.000311022
6,1747.93,1.85297,4.03606,3.03909,2.05548,0.20593,0.10444,0.07634,0.04382,0.18436,0.08828,0.06209,0.02797,2.08388,4.50512,3.76226,2.26354,0.000305527,0.000305527,0.000305527
7,2040.38,1.83319,3.99173,2.97723,2.03467,0.30135,0.09229,0.07285,0.04181,0.24686,0.07743,0.0564,0.02844,2.25419,5.03942,4.23924,2.39384,0.000300033,0.000300033,0.000300033
8,2331.12,1.83428,4.03825,3.03655,2.03311,0.25416,0.0817,0.06295,0.03404,0.19748,0.05988,0.04415,0.02129,2.16713,4.63866,4.21584,2.35662,0.000294539,0.000294539,0.000294539
9,2621.1,1.82069,4.00091,2.99561,2.00572,0.57563,0.08217,0.06939,0.04136,0.49229,0.06184,0.05178,0.02689,2.03176,4.47901,3.99304,2.25667,0.000289044,0.000289044,0.000289044
10,2911.2,1.81265,4.02218,2.93095,2.01238,0.23566,0.10181,0.07319,0.0435,0.21069,0.0796,0.05398,0.03056,2.00947,4.65165,3.94768,2.20275,0.00028355,0.00028355,0.00028355
11,3203.15,1.79697,3.9564,2.91978,2.00384,0.24311,0.08561,0.06863,0.04336,0.21298,0.07665,0.05473,0.03219,2.18405,4.75929,4.40577,2.35902,0.000278055,0.000278055,0.000278055
12,3492.01,1.81145,4.03913,2.98646,2.01182,0.22995,0.115,0.07837,0.04798,0.17316,0.09168,0.06084,0.03133,2.03987,4.43185,3.85941,2.23628,0.000272561,0.000272561,0.000272561
13,3780.44,1.79992,3.97908,2.95775,1.99521,0.33121,0.07348,0.05152,0.02833,0.29346,0.06007,0.04181,0.02069,2.32877,7.25577,4.25254,2.43989,0.000267066,0.000267066,0.000267066
14,4073.64,1.78841,3.99675,2.89255,1.986,0.22865,0.10141,0.06308,0.03977,0.1974,0.07846,0.0534,0.02812,2.11418,5.5048,4.00265,2.27812,0.000261572,0.000261572,0.000261572
15,4365.03,1.75896,3.9095,2.83092,1.98406,0.43197,0.06689,0.05355,0.03049,0.38597,0.05358,0.04294,0.01967,2.21054,5.78631,4.25086,2.33633,0.000256077,0.000256077,0.000256077
16,4654.05,1.75241,3.9011,2.81623,1.96191,0.3765,0.08799,0.05866,0.03251,0.32013,0.06576,0.05082,0.02514,2.21725,6.81807,4.03883,2.36417,0.000250583,0.000250583,0.000250583
17,4942.41,1.77557,3.92433,2.88606,1.9848,0.48319,0.07486,0.06196,0.03572,0.38741,0.0649,0.05564,0.03012,2.23987,6.522,4.15491,2.38492,0.000245088,0.000245088,0.000245088
18,5230.76,1.76359,3.93142,2.87762,1.97125,0.28807,0.11149,0.07161,0.04105,0.2715,0.1012,0.06213,0.02825,2.02112,5.11275,3.74527,2.1997,0.000239594,0.000239594,0.000239594
19,5518.94,1.73111,3.88997,2.81703,1.95253,0.2182,0.09933,0.07597,0.04581,0.19363,0.08602,0.06373,0.02952,2.08408,4.64283,3.92784,2.24117,0.000234099,0.000234099,0.000234099
20,5808.36,1.77079,3.90941,2.83355,1.97903,0.25927,0.0979,0.05552,0.03419,0.24557,0.08317,0.05153,0.02499,2.00335,4.59103,4.07374,2.17384,0.000228605,0.000228605,0.000228605
21,6097.61,1.7436,3.90331,2.79546,1.9604,0.10638,0.07474,0.03972,0.02307,0.10042,0.0473,0.03349,0.0166,2.33079,6.57894,4.37912,2.4426,0.00022311,0.00022311,0.00022311
22,6387.52,1.76817,3.94473,2.83776,1.97633,0.2746,0.07941,0.0501,0.03031,0.25732,0.05939,0.04163,0.02134,2.23248,5.61604,4.39626,2.32595,0.000217616,0.000217616,0.000217616
23,6676.02,1.74344,3.88086,2.80856,1.95557,0.39385,0.0859,0.06137,0.03696,0.34926,0.06027,0.04865,0.02685,2.28841,5.71362,4.35415,2.36164,0.000212121,0.000212121,0.000212121
24,6965.53,1.74867,3.93433,2.85563,1.954,0.263,0.11197,0.06909,0.04114,0.23602,0.08062,0.05172,0.02479,2.03188,4.7899,3.8648,2.18378,0.000206627,0.000206627,0.000206627
25,7255.66,1.73889,3.88197,2.80106,1.9482,0.24424,0.11697,0.07651,0.04662,0.17704,0.09134,0.05844,0.03142,1.98099,4.43045,3.84652,2.15664,0.000201132,0.000201132,0.000201132
26,7544.17,1.76808,3.95329,2.86535,1.97956,0.25511,0.12238,0.08536,0.05088,0.21618,0.10869,0.06804,0.03679,1.97273,4.39563,3.83812,2.16029,0.000195637,0.000195637,0.000195637
27,7831.98,1.74546,3.93336,2.82295,1.96019,0.26331,0.11271,0.07611,0.04503,0.20877,0.09131,0.06204,0.03188,2.00473,4.55851,3.95628,2.16972,0.000190143,0.000190143,0.000190143
28,8124.91,1.75255,3.91258,2.75923,1.95842,0.27226,0.1035,0.06512,0.03771,0.24134,0.07946,0.05718,0.02623,2.02254,4.6553,3.83144,2.18009,0.000184649,0.000184649,0.000184649
29,8415.76,1.75272,3.90075,2.7845,1.96848,0.24096,0.11652,0.08349,0.04892,0.21564,0.09274,0.07065,0.03717,1.98027,4.42378,3.95758,2.18116,0.000179154,0.000179154,0.000179154
30,8706.27,1.74601,3.88121,2.75989,1.95989,0.21823,0.11673,0.08393,0.04759,0.18759,0.09156,0.06915,0.0349,1.94828,4.38922,3.77018,2.13091,0.00017366,0.00017366,0.00017366
31,8996.36,1.72602,3.83704,2.79061,1.93124,0.23147,0.12919,0.08286,0.04784,0.2183,0.1091,0.06726,0.03505,1.87313,4.24563,3.66697,2.06519,0.000168165,0.000168165,0.000168165
32,9284.88,1.72438,3.89072,2.74584,1.93195,0.41449,0.08988,0.05562,0.03184,0.3977,0.07777,0.04688,0.02319,1.98354,4.57472,3.97892,2.14434,0.00016267,0.00016267,0.00016267
33,9573.73,1.7484,3.87291,2.74812,1.95803,0.17399,0.10506,0.06431,0.03562,0.15368,0.09067,0.04897,0.02179,1.91557,4.35713,3.73793,2.10237,0.000157176,0.000157176,0.000157176
34,9861.91,1.72086,3.85565,2.80096,1.93597,0.17621,0.10382,0.06142,0.03458,0.15273,0.08271,0.04589,0.02181,1.98358,4.7813,3.85515,2.14019,0.000151682,0.000151682,0.000151682
35,10150.7,1.73174,3.84869,2.70216,1.95319,0.16107,0.10682,0.06666,0.03866,0.20845,0.08612,0.05357,0.02565,1.9989,4.52408,3.79393,2.15819,0.000146187,0.000146187,0.000146187
36,10439.3,1.73968,3.87362,2.73392,1.95737,0.31073,0.09916,0.06448,0.03856,0.14304,0.0923,0.05236,0.02564,1.97278,4.84155,3.75151,2.13721,0.000140692,0.000140692,0.000140692
37,10727.9,1.7424,3.90733,2.77499,1.947,0.17267,0.11329,0.06799,0.03996,0.14358,0.09781,0.05343,0.02471,1.94186,4.38385,3.74431,2.13339,0.000135198,0.000135198,0.000135198
38,11016.6,1.72152,3.88294,2.69506,1.93686,0.24595,0.12636,0.08688,0.0508,0.21607,0.10253,0.07169,0.03765,1.88703,4.25219,3.69497,2.07924,0.000129703,0.000129703,0.000129703
