epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1018.26,0.59724,1.11851,1.01671,1.00852,0.85461,0.63506,0.72588,0.63406,0.84465,0.62356,0.70386,0.51841,0.41986,0.8307,0.51139,0.77141,0.00333226,0.00333226,0.00333226
2,2002.11,0.5526,0.81415,0.57814,0.96158,0.88637,0.71017,0.80673,0.69581,0.88661,0.69669,0.78592,0.57187,0.41219,0.82312,0.45559,0.7622,0.00655561,0.00655561,0.00655561
3,2982.93,0.59954,0.86791,0.60676,0.97925,0.85045,0.72647,0.83357,0.71589,0.83769,0.71496,0.8124,0.59726,0.4504,0.83729,0.45216,0.77234,0.00966896,0.00966896,0.00966896
4,3960.7,0.60368,0.87702,0.6028,0.98134,0.89618,0.80125,0.88469,0.77716,0.89298,0.78732,0.86317,0.64312,0.40745,0.72539,0.376,0.75717,0.009505,0.009505,0.009505
5,4937.92,0.56294,0.78353,0.534,0.96207,0.91427,0.82565,0.90275,0.80131,0.90796,0.80858,0.88039,0.66198,0.38133,0.6942,0.33619,0.74053,0.00934,0.00934,0.00934
6,5915.38,0.53456,0.72407,0.49041,0.94925,0.94211,0.84835,0.93223,0.83422,0.93735,0.83226,0.90657,0.6826,0.35751,0.6513,0.3059,0.73705,0.009175,0.009175,0.009175
7,6891.22,0.51539,0.68575,0.46113,0.94106,0.95146,0.86122,0.94204,0.84587,0.94546,0.84249,0.91181,0.69576,0.33614,0.60513,0.28275,0.72042,0.00901,0.00901,0.00901
8,7868.38,0.5034,0.65838,0.44021,0.93345,0.93321,0.89271,0.95065,0.86308,0.94457,0.85947,0.92629,0.70775,0.33172,0.60212,0.26734,0.7177,0.008845,0.008845,0.008845
9,8846.22,0.49034,0.63815,0.42425,0.92827,0.94538,0.887,0.95208,0.86709,0.94216,0.86135,0.92207,0.70704,0.3188,0.58224,0.25391,0.71601,0.00868,0.00868,0.00868
10,9823.7,0.48397,0.62436,0.41269,0.92521,0.95432,0.9093,0.96401,0.88171,0.94439,0.88701,0.93902,0.7231,0.30974,0.57298,0.24184,0.71333,0.008515,0.008515,0.008515
11,10801.4,0.47483,0.60857,0.40251,0.92159,0.95635,0.91062,0.96131,0.87717,0.94523,0.88933,0.93622,0.72316,0.30084,0.55524,0.23293,0.70973,0.00835,0.00835,0.00835
12,11778.9,0.46977,0.59923,0.39461,0.91815,0.96015,0.91178,0.96733,0.89109,0.95349,0.88562,0.94228,0.73029,0.2958,0.54961,0.22747,0.70424,0.008185,0.008185,0.008185
13,12756.5,0.46237,0.58695,0.38476,0.91574,0.96347,0.92585,0.9719,0.89727,0.95256,0.89898,0.94503,0.73668,0.28707,0.54366,0.21942,0.70464,0.00802,0.00802,0.00802
14,13733.4,0.45577,0.57547,0.37756,0.91261,0.96308,0.92239,0.97402,0.90097,0.94909,0.90086,0.94714,0.73777,0.28515,0.54239,0.21366,0.70384,0.007855,0.007855,0.007855
15,14710.1,0.44998,0.56321,0.37068,0.91024,0.96543,0.92846,0.97594,0.90341,0.95204,0.90326,0.94928,0.73953,0.27973,0.5317,0.2091,0.70114,0.00769,0.00769,0.00769
16,15688,0.44644,0.55825,0.36436,0.90816,0.96371,0.93581,0.97741,0.90908,0.95061,0.90921,0.95136,0.74581,0.27359,0.5295,0.20566,0.69891,0.007525,0.007525,0.007525
17,16666.2,0.44244,0.55316,0.3597,0.90658,0.96344,0.93583,0.9775,0.9132,0.95811,0.90555,0.95295,0.7464,0.2695,0.52144,0.20059,0.69768,0.00736,0.00736,0.00736
18,17643.3,0.43839,0.54456,0.35402,0.90541,0.96473,0.93714,0.97881,0.91289,0.95549,0.90574,0.95183,0.74706,0.2667,0.51919,0.19839,0.69698,0.007195,0.007195,0.007195
19,18621.3,0.43509,0.53899,0.35034,0.90346,0.96651,0.94013,0.9801,0.91481,0.95657,0.90906,0.9535,0.75146,0.26233,0.51858,0.19532,0.69663,0.00703,0.00703,0.00703
20,19599.1,0.43211,0.53466,0.34744,0.90241,0.9649,0.94553,0.9813,0.91786,0.95046,0.91454,0.95514,0.75357,0.25914,0.51434,0.19265,0.69528,0.006865,0.006865,0.006865
21,20576.8,0.42766,0.5263,0.34252,0.9,0.96785,0.94438,0.98153,0.91889,0.95348,0.91381,0.95485,0.75572,0.25738,0.51079,0.19026,0.69485,0.0067,0.0067,0.0067
22,21554.8,0.42428,0.5188,0.33869,0.89864,0.97075,0.94651,0.98277,0.92075,0.95327,0.91957,0.95651,0.7569,0.25585,0.50818,0.18921,0.69352,0.006535,0.006535,0.006535
23,22532.1,0.42078,0.51586,0.33496,0.89877,0.96979,0.94653,0.98307,0.92147,0.95443,0.91842,0.95715,0.75739,0.2539,0.50665,0.18791,0.69368,0.00637,0.00637,0.00637
24,23509.9,0.41746,0.51132,0.33189,0.89742,0.96989,0.94765,0.98353,0.9234,0.95419,0.9203,0.95813,0.75959,0.25269,0.5043,0.18686,0.69376,0.006205,0.006205,0.006205
25,24487.2,0.41467,0.50276,0.32788,0.89655,0.97183,0.94763,0.98421,0.92431,0.95476,0.91896,0.95897,0.75982,0.25087,0.50126,0.18553,0.69372,0.00604,0.00604,0.00604
26,25464,0.41148,0.4964,0.32425,0.89501,0.97206,0.94798,0.98438,0.92453,0.95196,0.92138,0.95888,0.75827,0.24993,0.49927,0.18464,0.69339,0.005875,0.005875,0.005875
27,26440.8,0.40805,0.49355,0.32226,0.89344,0.9696,0.94588,0.98418,0.92493,0.95143,0.9181,0.9587,0.76061,0.2487,0.49733,0.18373,0.69296,0.00571,0.00571,0.00571
28,27419.8,0.40579,0.48644,0.31921,0.89296,0.96836,0.94828,0.98415,0.92516,0.94998,0.91989,0.9585,0.7616,0.2471,0.49522,0.18314,0.69258,0.005545,0.005545,0.005545
29,28399.4,0.40263,0.48464,0.31536,0.89182,0.96768,0.94854,0.98426,0.92568,0.95026,0.9204,0.95884,0.76199,0.24577,0.49386,0.18235,0.69215,0.00538,0.00538,0.00538
30,29377,0.39901,0.47469,0.31131,0.89148,0.9669,0.9501,0.98428,0.92668,0.94994,0.92019,0.95887,0.76147,0.24442,0.49279,0.18153,0.69191,0.005215,0.005215,0.005215
31,30354.9,0.39721,0.47385,0.31009,0.88979,0.96912,0.94938,0.98433,0.92707,0.95337,0.92161,0.96053,0.76254,0.24306,0.49099,0.1807,0.6914,0.00505,0.00505,0.00505
32,31332.5,0.39508,0.47124,0.30776,0.88924,0.97066,0.95275,0.98487,0.92824,0.95351,0.9249,0.96052,0.76473,0.24173,0.48954,0.17974,0.69116,0.004885,0.004885,0.004885
33,32309.4,0.39378,0.46464,0.30536,0.8881,0.97005,0.95405,0.985,0.93042,0.95275,0.9271,0.96045,0.76525,0.2404,0.48804,0.17878,0.69083,0.00472,0.00472,0.00472
34,33286.8,0.39149,0.45853,0.30285,0.88785,0.96956,0.95512,0.98535,0.93071,0.9529,0.92432,0.9595,0.76558,0.2392,0.4864,0.17799,0.69048,0.004555,0.004555,0.004555
35,34257.2,0.38683,0.45604,0.30022,0.88697,0.97034,0.95568,0.98527,0.93134,0.95346,0.92535,0.95967,0.76645,0.23816,0.485,0.17698,0.69029,0.00439,0.00439,0.00439
36,35236.3,0.38387,0.45026,0.29669,0.88459,0.97069,0.95533,0.98525,0.93201,0.95341,0.9276,0.96102,0.76687,0.2371,0.48308,0.17623,0.68988,0.004225,0.004225,0.004225
37,36214.1,0.38191,0.44663,0.29401,0.88429,0.97171,0.95504,0.98532,0.93235,0.95225,0.93006,0.96139,0.76745,0.23592,0.48133,0.17549,0.68937,0.00406,0.00406,0.00406
38,37192.6,0.37865,0.4424,0.29115,0.88314,0.97268,0.95458,0.98538,0.93302,0.95314,0.92888,0.96155,0.76803,0.23464,0.47938,0.17475,0.68881,0.003895,0.003895,0.003895
39,38171,0.37608,0.43715,0.28946,0.8825,0.97312,0.95396,0.98531,0.93323,0.95308,0.92822,0.96124,0.76831,0.2335,0.47769,0.17394,0.68848,0.00373,0.00373,0.00373
40,39149.8,0.37252,0.4324,0.28522,0.88212,0.9728,0.955,0.98532,0.93355,0.95323,0.92834,0.96125,0.76899,0.23234,0.47587,0.17325,0.68817,0.003565,0.003565,0.003565
41,40128.6,0.36905,0.427,0.28501,0.88023,0.97271,0.95515,0.98538,0.93409,0.95374,0.92871,0.96226,0.76962,0.23116,0.474,0.1725,0.68782,0.0034,0.0034,0.0034
42,41106.2,0.36715,0.42422,0.28115,0.8799,0.97264,0.95536,0.98539,0.93417,0.95354,0.92995,0.96273,0.77029,0.22993,0.47218,0.17178,0.68751,0.003235,0.003235,0.003235
