epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1597.95,1.90751,4.12936,3.15728,2.11944,0.35942,0.18469,0.16257,0.09288,0.34039,0.17453,0.13675,0.07571,2.03668,4.21473,3.2891,2.20255,0.000110889,0.000110889,0.000110889
2,3191.8,1.59738,3.58376,2.37849,1.81519,0.37056,0.20695,0.15865,0.09263,0.34868,0.18354,0.14055,0.07651,1.96622,3.89067,3.02509,2.11866,0.000218228,0.000218228,0.000218228
3,4783.72,1.51283,3.41317,2.24277,1.755,0.44611,0.19575,0.16271,0.09726,0.40517,0.16794,0.13129,0.07671,2.01367,4.18585,3.23817,2.19251,0.000321904,0.000321904,0.000321904
4,6375.7,1.49458,3.35529,2.14615,1.72247,0.46033,0.16639,0.18597,0.10737,0.40999,0.13474,0.14259,0.08158,1.98104,4.06592,3.14245,2.1785,0.000316517,0.000316517,0.000316517
5,7960.4,1.43716,3.27198,2.04356,1.69209,0.62796,0.13498,0.15694,0.09241,0.55716,0.11984,0.13138,0.08091,2.06822,4.30868,3.72097,2.30595,0.000311022,0.000311022,0.000311022
6,9544.79,1.43237,3.19571,1.9994,1.68564,0.36187,0.2055,0.18392,0.1041,0.29071,0.17259,0.13791,0.07573,1.90781,4.06798,3.2801,2.10328,0.000305527,0.000305527,0.000305527
7,11129.1,1.37064,3.14333,1.97467,1.62569,0.37268,0.1878,0.17045,0.09814,0.31695,0.1612,0.13591,0.07684,1.90231,4.26677,3.25558,2.1509,0.000300033,0.000300033,0.000300033
8,12713.3,1.35882,3.051,1.87483,1.6295,0.39801,0.25515,0.24936,0.13959,0.34319,0.22776,0.19349,0.10682,1.78412,3.9521,2.98706,1.99924,0.000294539,0.000294539,0.000294539
9,14298.3,1.30843,2.97104,1.77636,1.57901,0.44112,0.19817,0.19095,0.1175,0.3946,0.17188,0.15456,0.09181,1.81467,4.0838,3.31842,2.05767,0.000289044,0.000289044,0.000289044
10,15883,1.27852,2.91858,1.71129,1.5504,0.50455,0.28181,0.23599,0.15133,0.46665,0.25061,0.19318,0.1137,1.71191,3.88711,2.84544,1.92448,0.00028355,0.00028355,0.00028355
11,17468,1.26738,2.86617,1.70016,1.55242,0.4497,0.33404,0.32248,0.19968,0.38537,0.29342,0.26198,0.15148,1.59076,3.77263,2.48586,1.82554,0.000278055,0.000278055,0.000278055
12,19052.5,1.23903,2.84337,1.65499,1.53011,0.40928,0.20698,0.20705,0.12188,0.60045,0.16558,0.1607,0.08399,1.7983,4.26854,3.16749,2.03087,0.000272561,0.000272561,0.000272561
13,20636.9,1.23269,2.82846,1.56945,1.51644,0.42643,0.27505,0.28442,0.17432,0.37906,0.25025,0.22965,0.13779,1.6078,3.65822,2.73595,1.81665,0.000267066,0.000267066,0.000267066
14,22221.1,1.18098,2.70991,1.5167,1.47694,0.53786,0.2495,0.26719,0.173,0.47413,0.22606,0.23198,0.13059,1.62531,3.70982,2.81579,1.84172,0.000261572,0.000261572,0.000261572
