epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.058,1.52287,3.58601,2.5483,1.72094,0.34011,0.09461,0.05783,0.03091,0.32427,0.09283,0.05725,0.02542,1.72956,3.95978,2.95258,1.79897,0.000110861,0.000110861,0.000110861
2,496.16,1.62149,3.74294,2.55113,1.80107,0.30389,0.14305,0.08777,0.05267,0.29962,0.12124,0.08148,0.04138,1.81138,4.0066,2.86465,1.85076,0.000218201,0.000218201,0.000218201
3,739.386,1.64949,3.82636,2.65173,1.82845,0.55362,0.09542,0.06714,0.03474,0.55003,0.07788,0.05984,0.02633,1.7193,3.84609,2.70053,1.80061,0.000321877,0.000321877,0.000321877
4,979.043,1.60981,3.77395,2.57327,1.80916,0.31022,0.14344,0.0884,0.04876,0.30261,0.12731,0.07998,0.03815,1.70295,3.8042,2.57966,1.77687,0.000316517,0.000316517,0.000316517
5,1219.32,1.56231,3.66543,2.46166,1.77215,0.28618,0.14277,0.09152,0.04899,0.18544,0.14534,0.08382,0.03771,1.6476,3.67181,2.45719,1.72296,0.000311022,0.000311022,0.000311022
6,1460.61,1.51666,3.57221,2.32892,1.73667,0.26922,0.16114,0.11369,0.06354,0.2818,0.1512,0.11658,0.0498,1.60627,3.67228,2.43254,1.69354,0.000305527,0.000305527,0.000305527
7,1702.33,1.47253,3.47927,2.22469,1.69905,0.48757,0.18316,0.15138,0.09113,0.47619,0.17205,0.14009,0.07635,1.59028,3.57468,2.41482,1.6888,0.000300033,0.000300033,0.000300033
8,1945.23,1.43,3.37909,2.10936,1.66143,0.36962,0.18213,0.11475,0.0634,0.35062,0.16915,0.10223,0.04811,1.63345,3.62095,2.4005,1.70843,0.000294539,0.000294539,0.000294539
9,2183.87,1.38949,3.26852,1.9769,1.63491,0.30941,0.19219,0.15277,0.08642,0.30289,0.17404,0.14342,0.07239,1.575,3.53236,2.34338,1.66625,0.000289044,0.000289044,0.000289044
10,2421.3,1.36289,3.23387,1.91261,1.60733,0.36851,0.1963,0.15304,0.08628,0.32029,0.19021,0.14084,0.06598,1.55799,3.5503,2.32302,1.66508,0.00028355,0.00028355,0.00028355
11,2658.74,1.33414,3.16571,1.84364,1.59143,0.29709,0.20507,0.14921,0.08234,0.51158,0.17331,0.15518,0.06748,1.58002,3.56538,2.24526,1.67489,0.000278055,0.000278055,0.000278055
12,2897.67,1.31017,3.1142,1.763,1.57042,0.36841,0.19639,0.17337,0.10176,0.367,0.18605,0.1629,0.08565,1.53741,3.56511,2.24386,1.6537,0.000272561,0.000272561,0.000272561
13,3135.59,1.28039,3.04409,1.69449,1.54785,0.44167,0.1982,0.18367,0.1085,0.44898,0.18572,0.17422,0.09394,1.55658,3.52759,2.24378,1.65373,0.000267066,0.000267066,0.000267066
14,3372.87,1.25398,2.99056,1.61682,1.52733,0.46476,0.21877,0.19264,0.11576,0.46731,0.20895,0.18512,0.10039,1.567,3.5361,2.23188,1.67624,0.000261572,0.000261572,0.000261572
15,3611.02,1.23841,2.95483,1.57194,1.51362,0.36781,0.21296,0.18011,0.10222,0.43263,0.19329,0.1863,0.08609,1.53767,3.54332,2.21754,1.6405,0.000256077,0.000256077,0.000256077
16,3850.06,1.21631,2.9003,1.50813,1.49342,0.33598,0.23425,0.18386,0.10452,0.34807,0.21381,0.17916,0.08749,1.54467,3.5437,2.18925,1.64728,0.000250583,0.000250583,0.000250583
17,4087.67,1.19339,2.8609,1.45666,1.47473,0.41249,0.21035,0.19335,0.10748,0.37998,0.19244,0.17492,0.08485,1.57366,3.57537,2.22149,1.66817,0.000245088,0.000245088,0.000245088
18,4326.42,1.16407,2.78718,1.38787,1.45646,0.52858,0.22378,0.22503,0.13305,0.49999,0.20937,0.20972,0.11458,1.54999,3.54807,2.27263,1.66319,0.000239594,0.000239594,0.000239594
19,4565.81,1.1487,2.7593,1.33897,1.44712,0.40888,0.24101,0.19684,0.11231,0.39422,0.22146,0.18649,0.09661,1.55122,3.52876,2.17613,1.66019,0.000234099,0.000234099,0.000234099
20,4804.66,1.12444,2.70063,1.29508,1.42307,0.42851,0.24892,0.22851,0.13017,0.4203,0.24252,0.21883,0.11353,1.52906,3.50978,2.16524,1.65129,0.000228605,0.000228605,0.000228605
21,5043.6,1.10778,2.65622,1.22749,1.40808,0.3551,0.21559,0.16895,0.09224,0.38751,0.20591,0.17032,0.07633,1.55956,3.57282,2.25379,1.6701,0.00022311,0.00022311,0.00022311
22,5281.18,1.08642,2.61272,1.19595,1.3878,0.41524,0.23044,0.18799,0.11005,0.40478,0.21603,0.17582,0.09167,1.56184,3.58686,2.29959,1.6739,0.000217616,0.000217616,0.000217616
23,5519.31,1.06028,2.57312,1.15029,1.3703,0.4597,0.26087,0.23181,0.1375,0.43934,0.24291,0.21527,0.11074,1.55502,3.54725,2.23884,1.67001,0.000212121,0.000212121,0.000212121
24,5756.99,1.04235,2.52329,1.10843,1.35883,0.37892,0.24091,0.19822,0.11054,0.41237,0.19625,0.18358,0.09164,1.57874,3.56214,2.26079,1.68897,0.000206627,0.000206627,0.000206627
25,5994.65,1.02799,2.49381,1.06972,1.34229,0.4101,0.24609,0.23923,0.1422,0.3975,0.23253,0.22494,0.11828,1.55642,3.52728,2.22017,1.67416,0.000201132,0.000201132,0.000201132
26,6235.56,1.0101,2.45114,1.03762,1.33043,0.34959,0.24698,0.22526,0.13321,0.33167,0.23711,0.21285,0.11231,1.58632,3.59594,2.28014,1.70924,0.000195637,0.000195637,0.000195637
27,6472.95,0.99605,2.40865,1.00218,1.3167,0.56904,0.2171,0.23939,0.1426,0.56282,0.21599,0.2273,0.11738,1.58205,3.60568,2.23216,1.69405,0.000190143,0.000190143,0.000190143
28,6711.48,0.98083,2.36287,0.96834,1.30277,0.48744,0.27162,0.2342,0.13914,0.49219,0.24197,0.21712,0.11213,1.56986,3.57975,2.25803,1.67745,0.000184649,0.000184649,0.000184649
